meanX,sdX,rangeX,meanY,sdY,rangeY,meanZ,sdZ,rangeZ,wristArmed,label,studentId
0.4059,0.0244,0.0746,0.2779,0.0115,0.0443,0.8689,0.0143,0.0581,1,still,11611553
0.4242,0.0210,0.0846,0.2857,0.0146,0.0680,0.8637,0.0180,0.0669,1,still,11611553
0.4420,0.0256,0.0818,0.2909,0.0142,0.0491,0.8571,0.0131,0.0510,1,still,11611553
0.4540,0.0249,0.0769,0.2889,0.0142,0.0481,0.8475,0.0117,0.0348,1,still,11611553
0.4691,0.0153,0.0608,0.2893,0.0139,0.0474,0.8434,0.0119,0.0348,1,still,11611553
0.4786,0.0091,0.0325,0.2844,0.0099,0.0455,0.8422,0.0105,0.0348,1,still,11611553
0.4790,0.0077,0.0269,0.2793,0.0048,0.0193,0.8357,0.0056,0.0190,1,still,11611553
0.4830,0.0064,0.0235,0.2796,0.0048,0.0193,0.8361,0.0045,0.0182,1,still,11611553
0.4843,0.0046,0.0147,0.2780,0.0042,0.0158,0.8358,0.0046,0.0182,1,still,11611553
0.4836,0.0046,0.0147,0.2766,0.0046,0.0158,0.8331,0.0034,0.0129,1,still,11611553
0.4861,0.0047,0.0169,0.2786,0.0046,0.0147,0.8331,0.0033,0.0129,1,still,11611553
0.4852,0.0047,0.0169,0.2778,0.0045,0.0147,0.8311,0.0030,0.0109,1,still,11611553
0.4866,0.0049,0.0177,0.2787,0.0047,0.0167,0.8306,0.0028,0.0090,1,still,11611553
0.4886,0.0040,0.0128,0.2804,0.0036,0.0125,0.8304,0.0025,0.0080,1,still,11611553
0.4879,0.0036,0.0128,0.2809,0.0041,0.0128,0.8287,0.0033,0.0129,1,still,11611553
0.4903,0.0035,0.0128,0.2804,0.0049,0.0179,0.8298,0.0039,0.0144,1,still,11611553
0.4913,0.0032,0.0125,0.2789,0.0054,0.0179,0.8286,0.0034,0.0144,1,still,11611553
0.4930,0.0044,0.0162,0.2792,0.0052,0.0179,0.8299,0.0049,0.0175,1,still,11611553
0.4930,0.0046,0.0169,0.2786,0.0048,0.0162,0.8339,0.0057,0.0191,1,still,11611553
0.4891,0.0081,0.0317,0.2816,0.0060,0.0238,0.8348,0.0057,0.0191,1,still,11611553
0.4808,0.0153,0.0574,0.2862,0.0071,0.0247,0.8377,0.0043,0.0188,1,still,11611553
0.4672,0.0181,0.0514,0.2904,0.0079,0.0277,0.8402,0.0039,0.0164,1,still,11611553
0.4561,0.0161,0.0467,0.2955,0.0071,0.0260,0.8430,0.0070,0.0252,1,still,11611553
0.4413,0.0175,0.0657,0.2995,0.0062,0.0216,0.8476,0.0080,0.0312,1,still,11611553
0.4311,0.0148,0.0498,0.2995,0.0055,0.0195,0.8532,0.0083,0.0263,1,still,11611553
0.4203,0.0177,0.0633,0.3000,0.0091,0.0424,0.8574,0.0071,0.0267,1,still,11611553
0.4089,0.0154,0.0661,0.2951,0.0116,0.0424,0.8624,0.0088,0.0390,1,still,11611553
0.4062,0.0129,0.0523,0.2963,0.0131,0.0431,0.8594,0.0142,0.0591,1,still,11611553
0.4053,0.0120,0.0522,0.3036,0.0178,0.0557,0.8606,0.0152,0.0591,1,still,11611553
0.4127,0.0151,0.0618,0.3067,0.0164,0.0536,0.8581,0.0156,0.0591,1,still,11611553
0.4227,0.0144,0.0511,0.3127,0.0110,0.0380,0.8532,0.0130,0.0557,1,still,11611553
0.4305,0.0130,0.0492,0.3184,0.0125,0.0402,0.8500,0.0148,0.0623,1,still,11611553
0.4368,0.0098,0.0345,0.3227,0.0157,0.0503,0.8422,0.0112,0.0413,1,still,11611553
0.4424,0.0104,0.0360,0.3325,0.0180,0.0669,0.8347,0.0130,0.0441,1,still,11611553
0.4339,0.0393,0.1777,0.3417,0.0164,0.0794,0.8076,0.0505,0.1916,1,right,11611553
0.4657,0.0896,0.4245,0.3136,0.1360,0.7206,0.8450,0.1376,0.5750,1,right,11611553
0.5036,0.1066,0.4245,0.3621,0.1845,0.9407,0.8738,0.1876,0.6388,1,right,11611553
0.4943,0.1181,0.4245,0.4172,0.2253,0.9407,0.8614,0.2137,0.6604,1,still,11611553
0.4696,0.1413,0.5084,0.3659,0.2585,0.9407,0.9171,0.2048,0.6604,1,still,11611553
0.3582,0.1815,0.5996,0.2928,0.3008,1.0178,0.8956,0.1844,0.6604,0,still,11611553
0.1566,0.2465,0.8001,0.0334,0.4063,1.4776,0.8316,0.1581,0.5165,0,still,11611553
-0.0151,0.2445,0.7169,-0.2952,0.3554,0.9441,0.8293,0.1299,0.4366,0,still,11611553
-0.1744,0.1832,0.5331,-0.5364,0.3023,0.8663,0.7717,0.1016,0.3720,0,still,11611553
-0.2485,0.0784,0.2909,-0.7001,0.1375,0.5195,0.6795,0.1078,0.4320,0,still,11611553
-0.2123,0.1199,0.4736,-0.7803,0.0539,0.1750,0.5339,0.2711,0.8372,0,still,11611553
-0.1279,0.1582,0.4736,-0.8231,0.0729,0.2371,0.2899,0.3784,1.1508,0,still,11611553
-0.0750,0.1100,0.3264,-0.8277,0.0725,0.2371,0.0279,0.3421,1.0794,0,still,11611553
-0.0342,0.0956,0.3046,-0.8183,0.0885,0.3251,-0.1595,0.1864,0.7161,0,still,11611553
0.0415,0.1373,0.4650,-0.7992,0.0937,0.3251,-0.2938,0.1194,0.4855,0,still,11611553
0.0750,0.1545,0.4650,-0.7612,0.0716,0.2412,-0.4417,0.2441,0.8807,0,still,11611553
0.1110,0.1241,0.4054,-0.6868,0.0981,0.3511,-0.6109,0.3160,0.9044,0,still,11611553
0.0460,0.2103,0.6075,-0.5780,0.2139,0.6591,-0.8218,0.2659,0.7877,0,still,11611553
-0.0522,0.1885,0.5601,-0.4428,0.2337,0.6787,-0.9579,0.1300,0.5243,0,still,11611553
-0.1247,0.1217,0.4617,-0.2912,0.1649,0.5680,-1.0061,0.0620,0.2087,0,still,11611553
-0.1465,0.0868,0.2951,-0.1497,0.1207,0.4804,-1.0260,0.0652,0.1979,0,still,11611553
-0.1231,0.0536,0.1697,-0.0774,0.1150,0.3520,-1.0052,0.0536,0.1979,0,still,11611553
-0.1148,0.0499,0.1697,-0.0196,0.0889,0.3058,-1.0057,0.0533,0.2020,0,still,11611553
-0.1237,0.0465,0.1697,0.0145,0.0345,0.1344,-1.0162,0.0522,0.2020,0,still,11611553
-0.1395,0.0308,0.1035,0.0006,0.0375,0.1449,-1.0045,0.0375,0.1477,0,still,11611553
