meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
1.0988,0.3116,1.0669,-0.2243,0.071,0.3387,-0.3346,0.1837,-0.5941,32.3771,61.4856,-196.3501,-241.276,53.3001,-167.6025,78.2674,33.7537,-114.502,right,11804106
0.974,0.3675,1.1146,-0.0777,0.092,0.3233,-0.1581,0.1778,-0.5902,10.7381,43.9735,-159.4849,-200.3662,59.0582,-199.4019,97.2127,48.8373,-163.5132,right,11804106
0.5951,0.3103,0.8592,0.0048,0.1514,0.543,-0.6552,0.3268,-0.889,-11.0433,36.5075,-146.6064,-173.5881,65.8746,-190.4297,-44.8649,13.8831,-53.2837,right,11804106
0.309,0.0774,0.3041,-0.0318,0.0679,0.2158,-0.8497,0.1937,-0.6094,14.7624,21.896,-73.9136,-78.4749,55.0799,-197.5708,-15.2913,12.6837,-48.9502,right,11804106
0.5704,0.419,1.2565,-0.0267,0.206,0.5958,-0.5904,0.3655,-0.9935,14.6688,18.7477,-65.7959,-208.0688,122.03,-328.0029,-65.8081,15.5144,-55.481,right,11804106
1.0473,0.2829,1.0141,-0.1015,0.1218,0.4654,-0.0337,0.2219,-0.6108,14.8193,21.5721,-66.5894,-261.5275,102.7883,-344.7266,-40.5558,15.9761,-58.8379,right,11804106
0.263,0.0492,0.1763,0.0332,0.034,0.1293,-0.9685,0.0552,-0.1767,0.7446,12.0803,-39.3066,-33.1624,14.8546,-45.5322,-16.1418,4.9239,-16.7847,right,11804106
0.7282,0.4044,1.0842,-0.1204,0.0683,0.2293,-0.492,0.2543,-0.7065,82.6009,54.6987,-182.9224,-208.8664,67.5699,-222.168,-64.8031,19.3977,-78.9185,right,11804106
0.337,0.0853,0.2722,-0.2779,0.153,0.498,-0.8397,0.1521,-0.5087,-3.418,49.9383,-187.3779,-57.4422,57.8,-203.4912,-7.7393,51.8207,-178.1006,right,11804106
0.8409,0.3016,0.9907,-0.2456,0.1172,0.397,-0.4462,0.2379,-0.7491,-23.8892,47.9277,-139.2212,-231.8481,42.152,-148.3154,-16.5975,15.5779,-58.96,right,11804106
0.6705,0.4383,1.1686,-0.1148,0.1237,0.3345,-0.5534,0.237,-0.8332,24.646,24.0308,-89.4165,-198.7101,78.561,-250.5493,13.8713,27.7064,-95.3979,right,11804106
