meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
0.9657,0.2846,1.0139,-0.1042,0.0635,0.2883,-0.3673,0.0976,0.3099,63.4847,19.8793,55.8472,-196.6187,153.0107,449.7681,90.5843,68.9593,200.1953,left,11611553
0.9378,0.2045,0.8792,-0.1555,0.0738,0.2814,-0.3961,0.0676,0.2439,26.8921,28.0012,90.1489,-169.2505,199.4229,580.6885,96.8302,107.5497,330.3223,left,11611553
0.8407,0.1590,0.6806,-0.1475,0.0435,0.1904,-0.5944,0.0650,0.2775,36.3770,32.8690,100.1587,-135.0952,129.6250,345.0928,65.4907,63.5909,177.5513,left,11611553
0.7186,0.1547,0.6498,0.3191,0.0486,0.1848,-0.2907,0.1169,0.4890,12.7767,23.4818,79.7119,-219.1650,224.8997,632.6904,47.2738,40.2970,125.3662,up,11611553
0.6331,0.1964,0.7645,0.2327,0.0642,0.2097,-0.2269,0.1842,0.7617,15.2954,28.4939,98.2056,-208.1340,240.8820,694.6411,42.1427,38.7515,127.3193,up,11611553
0.5743,0.2369,0.7576,0.2478,0.0816,0.2690,-0.2607,0.2095,0.8169,23.2340,40.3446,129.9438,-184.7087,197.5226,509.8267,52.3641,38.8642,125.4272,up,11611553
0.6946,0.2057,0.6949,0.1878,0.0397,0.1265,-0.3727,0.1431,0.6013,19.3685,11.6564,40.4663,-175.0041,209.6850,594.5435,36.0677,30.5298,105.1636,up,11611553
0.6090,0.1472,0.5396,0.2572,0.0365,0.1382,-0.3193,0.0989,0.4089,21.6268,23.7397,73.1812,-215.9383,237.9225,684.8145,51.2288,47.5263,130.3711,up,11611553
0.7815,0.1883,0.7435,0.2926,0.0492,0.1954,-0.3094,0.1075,0.4296,20.3125,27.5240,82.7637,-191.6138,214.7524,557.4341,42.3950,42.1976,114.3188,up,11611553
0.7159,0.1231,0.4258,0.2426,0.0396,0.1373,-0.3764,0.0475,0.1583,17.8874,26.7593,77.8809,-194.9137,211.6622,634.3994,37.4349,31.9897,88.5620,up,11611553
0.7873,0.1648,0.6788,0.2442,0.0456,0.1749,-0.4839,0.0689,0.3129,20.1253,26.0623,79.3457,-167.6717,207.9355,530.8228,38.6597,36.1377,100.1587,up,11611553
0.6973,0.1562,0.5688,0.2677,0.0292,0.0963,-0.3821,0.0619,0.2707,12.2599,21.4716,79.3457,-168.5710,186.2258,495.1782,35.1807,35.5376,104.4312,up,11611553
0.8023,0.1668,0.6579,0.2295,0.0601,0.1970,-0.3943,0.0635,0.2383,24.9756,28.9003,80.8716,-206.2419,217.7961,579.2236,42.5171,34.3956,85.3271,up,11611553
0.7784,0.1646,0.6879,0.2854,0.0530,0.1631,-0.3867,0.0587,0.1976,27.7791,31.4820,98.9380,-189.8112,216.8929,576.9043,54.1707,54.4055,143.0054,up,11611553
0.8718,0.1979,0.8054,0.2361,0.0418,0.1522,-0.4293,0.0763,0.2618,26.0824,27.1883,73.6084,-190.0635,189.2859,510.9253,34.5133,32.6290,96.0693,up,11611553
0.6957,0.1762,0.6768,0.2339,0.0814,0.2755,-0.3849,0.0890,0.3369,33.6589,32.0680,91.4917,-221.1833,209.1689,573.4863,66.2598,41.0808,121.7651,up,11611553
0.5672,0.2136,0.7379,0.2450,0.0432,0.1624,-0.2515,0.1140,0.4158,27.8035,34.1600,127.3193,-204.0568,233.1033,635.4370,38.3179,45.1147,151.3672,up,11611553
0.5971,0.1253,0.3979,0.1797,0.0318,0.1179,-0.3165,0.0947,0.3339,16.3167,23.9684,77.9419,-176.4771,193.9010,510.8643,55.3223,52.1213,148.3154,up,11611553
0.5896,0.0876,0.3682,0.2361,0.0449,0.1591,-0.3341,0.0964,0.3916,17.2363,29.6544,102.2949,-184.1553,202.1882,588.3789,47.7132,57.9748,160.8887,up,11611553
0.6898,0.1816,0.6379,0.2133,0.0679,0.2443,-0.3837,0.1260,0.4810,33.7362,36.6618,111.0229,-190.0594,187.6991,465.5151,53.3610,50.7663,136.1084,up,11611553
0.6949,0.1569,0.5283,0.2488,0.0546,0.2104,-0.3161,0.1060,0.4005,15.5233,24.2988,80.6274,-191.7114,203.2243,551.0864,49.8210,48.1009,136.7798,up,11611553
0.5082,0.1304,0.3839,0.2426,0.0410,0.1384,-0.4071,0.1131,0.4286,21.7651,19.9234,61.2793,-160.0016,164.2325,497.6807,40.8895,46.9324,145.6909,up,11611553
0.6332,0.2025,0.6187,0.2560,0.0586,0.2288,-0.2706,0.0654,0.2303,17.1875,21.7923,66.1621,-184.2896,204.8785,530.0293,49.0967,47.6288,141.3574,up,11611553
0.5878,0.1536,0.5635,0.2780,0.0481,0.1658,-0.3822,0.0809,0.3771,28.4302,27.3254,75.8667,-184.7127,204.5045,545.5322,47.9167,52.2128,136.9629,up,11611553
0.6438,0.1971,0.6226,0.2519,0.1313,0.3364,-0.2401,0.0368,0.1274,2.5330,4.2685,14.7705,-70.6584,51.0316,151.1841,1.4903,5.7847,20.2637,down,11611553
0.8416,0.2755,0.7349,-0.0268,0.0737,0.1979,-0.2485,0.1826,0.4911,100.0977,21.4548,62.6221,-504.9194,143.7282,382.5073,109.9976,44.4198,114.6240,down,11611553
1.0718,0.2800,1.0827,0.0958,0.1233,0.4749,-0.2723,0.1184,0.4356,63.4928,84.8145,240.1123,-204.4067,285.3723,783.6914,68.5588,88.5488,257.5073,down,11611553
0.9983,0.1662,0.7096,0.0436,0.0551,0.2202,-0.4188,0.1628,0.5916,34.1349,62.8983,196.5942,-143.3757,270.9224,950.8057,50.6510,80.7589,279.6631,down,11611553
1.0006,0.1699,0.8340,0.0606,0.0696,0.3361,-0.2600,0.0998,0.4456,39.3351,62.9389,187.0117,-153.3773,273.7409,833.9233,44.4010,81.4677,249.5728,down,11611553
1.2478,0.3939,1.4398,-0.1618,0.0670,0.2655,-0.7519,0.2090,0.5989,53.3325,37.4533,107.8491,-157.1126,237.5488,666.5039,73.3114,58.1205,181.4575,down,11611553
0.9090,0.1609,0.7246,-0.0065,0.0610,0.2421,-0.3136,0.0364,0.1050,51.9735,62.4107,177.5513,-188.7695,244.1986,681.3965,62.8947,91.1816,265.1367,down,11611553
1.0192,0.2211,0.9222,-0.0559,0.0714,0.2916,-0.4235,0.0870,0.2912,42.6514,50.7534,143.8599,-157.5358,213.2140,618.4692,46.7855,67.6867,193.9697,down,11611553
0.9156,0.0979,0.4415,-0.1018,0.0617,0.2189,-0.3448,0.1575,0.4966,60.6812,54.3019,156.3110,-187.3047,205.0200,564.8193,63.4684,76.0694,205.0171,down,11611553
0.6010,0.1885,0.6360,0.2715,0.1434,0.3807,-0.2924,0.1317,0.3452,10.7707,9.2231,28.9307,-13.3016,33.0877,116.9434,-13.9567,25.4414,77.6978,down,11611553
0.9157,0.1678,0.6595,-0.1360,0.0659,0.2432,-0.4872,0.0783,0.2916,39.7217,35.3937,98.5718,-147.6522,173.1982,501.0986,47.7458,58.3957,164.7949,down,11611553
1.1179,0.4547,1.5715,0.0148,0.1420,0.4799,-0.4670,0.1536,0.4355,55.2002,54.8373,155.5786,-170.0968,202.0319,609.0698,69.9178,59.2800,182.9834,down,11611553
0.9835,0.3460,1.1788,-0.1008,0.1304,0.4288,-0.5989,0.1605,0.5578,48.9054,49.0673,123.4741,-156.7627,203.5665,572.5708,59.0129,55.7354,156.7993,down,11611553
0.9382,0.4362,1.4873,-0.0590,0.1538,0.5645,-0.4237,0.1398,0.4569,37.9964,26.4055,65.4297,-188.1348,174.9355,477.5391,68.8436,57.1524,168.7622,down,11611553
0.8830,0.3506,1.1997,0.0419,0.1786,0.6695,-0.4776,0.1471,0.4892,77.1647,62.7724,173.0347,-199.7843,200.4788,556.5796,57.9793,53.3128,148.5596,down,11611553
0.9409,0.2365,0.9646,0.0418,0.1203,0.4350,-0.5022,0.1210,0.4111,61.0962,61.6330,160.0342,-135.3678,160.5865,436.4624,54.6834,55.8965,153.3203,down,11611553
0.7588,0.2378,0.7419,-0.0411,0.1687,0.5545,-0.4986,0.1384,0.4684,67.6310,53.4433,143.6768,-161.5153,133.7018,347.4121,60.6201,49.4388,120.8496,down,11611553
0.9812,0.2386,1.0275,0.0185,0.0983,0.4071,-0.3360,0.1319,0.4354,51.6886,62.4905,163.6963,-141.0685,187.5350,492.6758,64.7542,84.5617,232.1777,down,11611553
1.4237,0.4703,1.5366,-0.0070,0.1405,0.4655,-0.4384,0.0921,0.2648,53.6458,47.9542,144.1650,-149.8291,236.3836,704.8950,75.2319,47.6970,175.2319,down,11611553
0.9947,0.2695,1.0065,-0.1040,0.0954,0.3348,-0.3596,0.1163,0.4757,42.4479,49.1810,135.0708,-185.0667,239.1154,635.0708,55.2409,61.4169,161.8042,down,11611553
1.2190,0.3239,1.1286,-0.1446,0.0831,0.2973,-0.3895,0.0911,0.3215,48.4131,52.6600,142.3340,-174.2269,245.3644,668.7012,62.7116,44.2642,139.0381,down,11611553
0.8791,0.2219,0.7626,-0.2152,0.0720,0.2609,-0.4207,0.1176,0.4489,32.5806,37.6865,105.9570,-169.4783,211.1896,591.4307,46.1182,59.7701,154.7241,down,11611553
1.1839,0.2817,1.0782,-0.1385,0.0957,0.3741,-0.6448,0.1308,0.4216,46.6227,41.7092,119.3237,-127.0630,224.4196,631.1646,67.8345,47.7798,141.9067,down,11611553
0.9693,0.2894,1.0340,-0.1410,0.0865,0.3807,-0.4308,0.1368,0.4011,45.1375,47.7753,135.8643,-161.4299,213.1547,568.5425,53.5685,55.5187,158.9966,down,11611553
0.9867,0.3503,1.2439,-0.1251,0.1043,0.3321,-0.4220,0.0918,0.2943,52.0223,45.3524,120.5444,-183.5286,182.9832,471.1914,45.8496,51.8653,136.2305,down,11611553
1.0105,0.1022,0.4484,-0.0518,0.0770,0.2354,-0.1607,0.0777,0.3188,33.9844,48.9470,144.4092,-165.7552,245.6485,833.6182,51.2126,82.3124,285.4004,push,11611553
0.9252,0.1427,0.5737,-0.0297,0.0432,0.1766,-0.3838,0.0366,0.1269,56.1605,72.4097,230.5908,-182.1330,201.0772,628.6621,40.7674,52.8110,175.5981,push,11611553
0.9259,0.1794,0.6953,-0.0315,0.0526,0.1885,-0.3620,0.0649,0.3106,56.4860,64.6965,203.3081,-177.3315,200.9710,588.6230,38.6963,52.4390,159.9121,push,11611553
0.8083,0.2328,0.7886,-0.0725,0.0870,0.3090,-0.5395,0.0922,0.3224,67.8589,70.5391,198.4253,-193.4001,187.6003,500.7324,49.9552,46.8647,133.2397,push,11611553
0.8844,0.1149,0.4974,-0.1123,0.0477,0.1501,-0.4982,0.0503,0.2010,42.8101,58.3773,182.0679,-134.5662,190.7557,602.0508,30.5583,53.7389,169.4946,push,11611553
0.7951,0.2008,0.7077,-0.0879,0.0745,0.2463,-0.5598,0.0854,0.2319,60.9660,67.7051,186.9507,-185.9538,163.6515,440.3687,51.0579,39.9665,119.4458,push,11611553
0.9023,0.1622,0.6225,-0.0242,0.0748,0.2800,-0.4990,0.0570,0.2235,58.7118,70.5878,219.6655,-162.7604,185.3720,523.1323,35.0423,39.8533,107.7881,push,11611553
0.8646,0.2008,0.7618,-0.0790,0.0857,0.3263,-0.5440,0.0520,0.2388,51.2207,65.7852,189.0259,-146.6878,193.9566,514.7705,41.1418,53.3383,134.8877,push,11611553
0.8484,0.2257,0.7497,-0.1015,0.0920,0.3124,-0.5687,0.0942,0.3012,63.6475,60.1657,163.8794,-174.1862,154.9153,422.4854,44.9341,37.4205,99.2432,push,11611553
0.7196,0.2349,0.7604,-0.1056,0.1044,0.3520,-0.6846,0.1094,0.3421,56.8604,30.1661,87.5854,-157.1899,71.1485,231.1401,37.4593,20.5663,64.9414,push,11611553
0.8001,0.2051,0.7516,-0.1156,0.0746,0.2855,-0.5793,0.0635,0.2363,63.3138,61.3888,172.8516,-176.3428,166.1777,452.3315,45.4427,42.2290,129.2114,push,11611553
0.7827,0.1723,0.6101,-0.1039,0.0882,0.3187,-0.6226,0.0407,0.1713,55.6803,64.8675,172.5464,-157.2388,165.2259,445.7397,47.2656,45.1501,116.5771,push,11611553
0.8333,0.1342,0.5375,-0.1431,0.0437,0.1619,-0.5487,0.0288,0.1234,52.9419,60.2451,180.5420,-161.2793,177.8428,518.3716,42.3381,50.9962,147.1558,push,11611553
0.8122,0.2700,0.8978,-0.1198,0.1118,0.3907,-0.5743,0.1287,0.3793,78.3488,61.9492,162.7197,-203.6621,150.7111,373.0469,45.2067,32.6886,99.1821,push,11611553
0.7767,0.2173,0.7441,-0.1171,0.0820,0.2814,-0.5576,0.0773,0.2307,63.3016,56.4386,178.2837,-180.5135,164.4071,488.8916,58.1665,52.2742,146.4233,push,11611553
0.7688,0.1488,0.5704,-0.1327,0.0695,0.1854,-0.5973,0.0354,0.1295,48.5840,71.0144,214.7827,-139.2253,178.3693,513.4888,40.6453,42.6370,119.5679,push,11611553
0.7491,0.2502,0.7487,-0.1026,0.1221,0.3947,-0.5813,0.1181,0.3136,63.4847,45.8355,125.8545,-171.7896,111.7898,312.2559,46.0124,26.3105,78.6133,push,11611553
0.7469,0.2347,0.7518,-0.1410,0.1128,0.3555,-0.6063,0.0961,0.3066,65.8285,54.7799,155.0903,-178.6377,135.7656,389.2822,58.4798,43.3785,120.3003,push,11611553
0.7818,0.2203,0.7613,-0.0944,0.0814,0.2742,-0.6198,0.0746,0.2405,65.4256,58.1823,156.3110,-172.1598,136.3505,357.5439,45.1864,35.8784,94.7266,push,11611553
0.8258,0.1622,0.6193,-0.1659,0.0586,0.2147,-0.5386,0.0531,0.2143,50.4801,46.9496,152.4658,-145.1823,144.4445,421.3867,32.6050,36.3005,111.8774,push,11611553
