meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
1.0069,0.3880,1.3701,-0.1206,0.1899,0.7003,-0.3025,0.1678,0.5048,43.7256,98.2844,332.8247,-252.3234,161.0644,427.3682,-18.9941,37.4842,111.8774,left,11804106
1.0339,0.3838,1.3534,-0.1793,0.1669,0.5659,-0.4087,0.1955,0.6764,49.8698,49.1866,177.3071,-225.9888,194.5090,496.7041,-9.9121,28.4767,86.7310,left,11804106
0.9232,0.3232,1.1300,-0.1201,0.0651,0.2156,-0.4966,0.1235,0.4746,19.5109,19.0561,71.4111,-238.4766,132.0036,367.9199,-21.0531,35.5468,96.4355,left,11804106
1.0502,0.3054,1.0576,-0.2338,0.1725,0.5633,-0.2233,0.1334,0.4278,10.5143,62.6839,221.7407,-227.1973,139.0890,375.3052,21.6349,40.8105,135.0098,left,11804106
1.0062,0.3605,1.1904,-0.2401,0.2761,1.2113,-0.3574,0.2984,1.0358,-26.6724,27.8074,102.5391,-261.4461,160.4876,475.5859,-8.1462,57.1455,213.6841,left,11804106
1.0737,0.1943,0.8239,-0.1196,0.0536,0.2085,-0.3621,0.2044,0.6663,-18.7012,34.0965,123.2910,-183.9233,131.3582,379.8218,-4.7119,22.2426,75.3784,left,11804106
0.8161,0.3536,1.1527,-0.1822,0.0999,0.3506,-0.5133,0.1572,0.4816,2.5675,33.3508,114.5020,-256.7179,80.8500,246.5210,-6.7546,41.5432,133.1787,left,11804106
1.1420,0.2521,0.9847,-0.1121,0.0809,0.2514,-0.1414,0.1462,0.4740,-24.5077,42.4422,154.8462,-249.6785,157.1548,417.1143,-49.5076,30.8598,90.8813,left,11804106
1.0706,0.1591,0.4982,-0.1204,0.2469,0.9299,-0.1094,0.2757,0.9714,10.3353,40.4259,172.7295,-287.2274,171.2999,521.1792,-16.0889,59.9889,187.0728,left,11804106
0.9474,0.3609,1.2820,-0.1117,0.1401,0.4940,-0.3664,0.1850,0.6066,7.8491,19.7924,80.5664,-259.7860,94.4899,297.6074,-23.1974,35.8534,117.1265,left,11804106
