meanAx,sdAx,rangeAx,meanAy,sdAy,rangeAy,meanAz,sdAz,rangeAz,meanGx,sdGx,rangeGx,meanGy,sdGy,rangeGy,meanGz,sdGz,rangeGz,label,studentId
1.0718,0.28,1.0827,0.0958,0.1233,0.4749,-0.2723,0.1184,0.4356,63.4928,84.8145,240.1123,-204.4067,285.3723,783.6914,68.5588,88.5488,257.5073,down,11611553
0.9983,0.1662,0.7096,0.0436,0.0551,0.2202,-0.4188,0.1628,0.5916,34.1349,62.8983,196.5942,-143.3757,270.9224,950.8057,50.651,80.7589,279.6631,down,11611553
1.0006,0.1699,0.834,0.0606,0.0696,0.3361,-0.26,0.0998,0.4456,39.3351,62.9389,187.0117,-153.3773,273.7409,833.9233,44.401,81.4677,249.5728,down,11611553
1.2478,0.3939,1.4398,-0.1618,0.067,0.2655,-0.7519,0.209,0.5989,53.3325,37.4533,107.8491,-157.1126,237.5488,666.5039,73.3114,58.1205,181.4575,down,11611553
0.909,0.1609,0.7246,-0.0065,0.061,0.2421,-0.3136,0.0364,0.105,51.9735,62.4107,177.5513,-188.7695,244.1986,681.3965,62.8947,91.1816,265.1367,down,11611553
1.0192,0.2211,0.9222,-0.0559,0.0714,0.2916,-0.4235,0.087,0.2912,42.6514,50.7534,143.8599,-157.5358,213.214,618.4692,46.7855,67.6867,193.9697,down,11611553
0.9156,0.0979,0.4415,-0.1018,0.0617,0.2189,-0.3448,0.1575,0.4966,60.6812,54.3019,156.311,-187.3047,205.02,564.8193,63.4684,76.0694,205.0171,down,11611553
0.601,0.1885,0.636,0.2715,0.1434,0.3807,-0.2924,0.1317,0.3452,10.7707,9.2231,28.9307,-13.3016,33.0877,116.9434,-13.9567,25.4414,77.6978,down,11611553
0.9157,0.1678,0.6595,-0.136,0.0659,0.2432,-0.4872,0.0783,0.2916,39.7217,35.3937,98.5718,-147.6522,173.1982,501.0986,47.7458,58.3957,164.7949,down,11611553
1.1179,0.4547,1.5715,0.0148,0.142,0.4799,-0.467,0.1536,0.4355,55.2002,54.8373,155.5786,-170.0968,202.0319,609.0698,69.9178,59.28,182.9834,down,11611553
0.9835,0.346,1.1788,-0.1008,0.1304,0.4288,-0.5989,0.1605,0.5578,48.9054,49.0673,123.4741,-156.7627,203.5665,572.5708,59.0129,55.7354,156.7993,down,11611553
0.9382,0.4362,1.4873,-0.059,0.1538,0.5645,-0.4237,0.1398,0.4569,37.9964,26.4055,65.4297,-188.1348,174.9355,477.5391,68.8436,57.1524,168.7622,down,11611553
0.883,0.3506,1.1997,0.0419,0.1786,0.6695,-0.4776,0.1471,0.4892,77.1647,62.7724,173.0347,-199.7843,200.4788,556.5796,57.9793,53.3128,148.5596,down,11611553
0.9409,0.2365,0.9646,0.0418,0.1203,0.435,-0.5022,0.121,0.4111,61.0962,61.633,160.0342,-135.3678,160.5865,436.4624,54.6834,55.8965,153.3203,down,11611553
0.7588,0.2378,0.7419,-0.0411,0.1687,0.5545,-0.4986,0.1384,0.4684,67.631,53.4433,143.6768,-161.5153,133.7018,347.4121,60.6201,49.4388,120.8496,down,11611553
0.9812,0.2386,1.0275,0.0185,0.0983,0.4071,-0.336,0.1319,0.4354,51.6886,62.4905,163.6963,-141.0685,187.535,492.6758,64.7542,84.5617,232.1777,down,11611553
1.4237,0.4703,1.5366,-0.007,0.1405,0.4655,-0.4384,0.0921,0.2648,53.6458,47.9542,144.165,-149.8291,236.3836,704.895,75.2319,47.697,175.2319,down,11611553
0.9947,0.2695,1.0065,-0.104,0.0954,0.3348,-0.3596,0.1163,0.4757,42.4479,49.181,135.0708,-185.0667,239.1154,635.0708,55.2409,61.4169,161.8042,down,11611553
1.219,0.3239,1.1286,-0.1446,0.0831,0.2973,-0.3895,0.0911,0.3215,48.4131,52.66,142.334,-174.2269,245.3644,668.7012,62.7116,44.2642,139.0381,down,11611553
0.8791,0.2219,0.7626,-0.2152,0.072,0.2609,-0.4207,0.1176,0.4489,32.5806,37.6865,105.957,-169.4783,211.1896,591.4307,46.1182,59.7701,154.7241,down,11611553
1.1839,0.2817,1.0782,-0.1385,0.0957,0.3741,-0.6448,0.1308,0.4216,46.6227,41.7092,119.3237,-127.063,224.4196,631.1646,67.8345,47.7798,141.9067,down,11611553
0.9693,0.2894,1.034,-0.141,0.0865,0.3807,-0.4308,0.1368,0.4011,45.1375,47.7753,135.8643,-161.4299,213.1547,568.5425,53.5685,55.5187,158.9966,down,11611553
0.9867,0.3503,1.2439,-0.1251,0.1043,0.3321,-0.422,0.0918,0.2943,52.0223,45.3524,120.5444,-183.5286,182.9832,471.1914,45.8496,51.8653,136.2305,down,11611553
1.0105,0.1022,0.4484,-0.0518,0.077,0.2354,-0.1607,0.0777,0.3188,33.9844,48.947,144.4092,-165.7552,245.6485,833.6182,51.2126,82.3124,285.4004,push,11611553
0.9252,0.1427,0.5737,-0.0297,0.0432,0.1766,-0.3838,0.0366,0.1269,56.1605,72.4097,230.5908,-182.133,201.0772,628.6621,40.7674,52.811,175.5981,push,11611553
